price,size,rooms,floor,bldg
2000000,42,2,5,кирпичный
2500000,47,2,2,панельный
1450000,39,2,1,панельный
1580000,36,1,6,кирпичный
1250000,30,1,1,панельный
2160000,63,3,5,панельный
2300000,47,2,5,панельный
1430000,33,1,2,панельный
2200000,42,1,2,кирпичный
2930000,60,2,1,кирпичный
1670000,39,1,6,панельный
2850000,56,2,7,кирпичный
2360000,58,3,3,кирпичный
2620000,43,1,3,монолитный
1480000,36,1,6,панельный
2150000,38,1,9,кирпичный
1950000,47,2,5,кирпичный
2790000,50,2,2,кирпичный
1600000,43,2,4,кирпичный
2100000,74,4,2,кирпичный
1770000,38,1,10,кирпичный
2870000,58,2,6,монолитный
1440000,32,1,6,панельный
2100000,35,1,4,кирпичный
1780000,40,1,11,монолитный
2230000,45,2,3,панельный
1500000,34,1,1,панельный
1950000,36,1,7,кирпичный
1530000,42,1,9,блочный
2830000,81,3,4,панельный
